experiment,condition_id,context,fragment_names,n_fragments,active_fragments,n_active_fragments,cue_stanchions,cue_waiting_area,cue_service_sign,cue_social_density,n_primitives,primitive_set,sequence,sequence_length,backbone_length,total_VFE,mean_VFE,max_VFE,total_EFE,efe_rate,per_transition_VFE,n_obligatory,n_advancing,n_returning,topology_density,inferred_context,belief_confidence,belief_entropy,belief_reception,belief_corridor,belief_hospital,effective_affinities,weighted_scores,primitive_weights,D_KL_from_baseline
exp2,exp2_reception_k2_queue_position_direct_approach,reception,"queue_position,direct_approach",2,"queue_position,direct_approach",2,0,0,0,0,4,"approach-counter,engage-staff,position-in-queue,yield-pass",yield-pass -> approach-counter -> engage-staff -> position-in-queue,4,3,2.302585,0.767528,2.302585,4.215062,1.053765,0.767528,2,3,1,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""queue_position"": 0.799894, ""direct_approach"": 0.931688}","{""direct_approach"": 0.089375, ""queue_position"": 0.085625}","{""engage-staff"": 0.044688, ""approach-counter"": 0.044688, ""position-in-queue"": 0.042813, ""yield-pass"": 0.042813}",0.0
exp2,exp2_reception_k2_wait_patiently_approach_service,reception,"wait_patiently,approach_service",2,"wait_patiently,approach_service",2,0,0,0,0,4,"approach-counter,gaze-at-agent,wait-acknowledge,wait-for-turn",wait-for-turn -> approach-counter -> gaze-at-agent -> wait-acknowledge,4,3,2.302585,0.767528,2.302585,3.772234,0.943058,0.767528,0,3,1,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""wait_patiently"": 0.703971, ""approach_service"": 0.896072}","{""approach_service"": 0.0825, ""wait_patiently"": 0.0775}","{""approach-counter"": 0.04125, ""gaze-at-agent"": 0.04125, ""wait-for-turn"": 0.03875, ""wait-acknowledge"": 0.03875}",0.0
exp2,exp2_reception_k2_wait_patiently_courtesy_space,reception,"wait_patiently,courtesy_space",2,wait_patiently,1,0,0,0,0,2,"wait-acknowledge,wait-for-turn",wait-for-turn -> wait-acknowledge,2,1,0.0,0.0,-0.0,1.240983,0.620491,0.0,0,1,1,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""wait_patiently"": 0.703971, ""courtesy_space"": 0.307749}","{""wait_patiently"": 0.039375}","{""wait-for-turn"": 0.019687, ""wait-acknowledge"": 0.019687}",0.0
exp2,exp2_reception_k2_wait_patiently_direct_approach,reception,"wait_patiently,direct_approach",2,"wait_patiently,direct_approach",2,0,0,0,0,4,"approach-counter,engage-staff,wait-acknowledge,wait-for-turn",wait-for-turn -> approach-counter -> engage-staff -> wait-acknowledge,4,3,0.0,0.0,-0.0,3.664099,0.916025,0.0,0,3,1,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""wait_patiently"": 0.703971, ""direct_approach"": 0.931688}","{""direct_approach"": 0.085625, ""wait_patiently"": 0.079375}","{""engage-staff"": 0.042813, ""approach-counter"": 0.042813, ""wait-for-turn"": 0.039687, ""wait-acknowledge"": 0.039687}",0.0
exp2,exp2_reception_k2_approach_service_courtesy_space,reception,"approach_service,courtesy_space",2,approach_service,1,0,0,0,0,2,"approach-counter,gaze-at-agent",approach-counter -> gaze-at-agent,2,2,0.0,0.0,-0.0,0.262014,0.131007,0.0,0,2,0,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""approach_service"": 0.896072, ""courtesy_space"": 0.307749}","{""approach_service"": 0.050625}","{""approach-counter"": 0.025313, ""gaze-at-agent"": 0.025313}",0.0
exp2,exp2_reception_k2_approach_service_direct_approach,reception,"approach_service,direct_approach",2,"approach_service,direct_approach",2,0,0,0,0,3,"approach-counter,engage-staff,gaze-at-agent",approach-counter -> engage-staff -> gaze-at-agent,3,3,0.0,0.0,-0.0,1.119081,0.373027,0.0,0,3,0,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""approach_service"": 0.896072, ""direct_approach"": 0.931688}","{""direct_approach"": 0.093125, ""approach_service"": 0.091875}","{""engage-staff"": 0.046563, ""approach-counter"": 0.0925, ""gaze-at-agent"": 0.045937}",0.0
exp2,exp2_reception_k2_courtesy_space_direct_approach,reception,"courtesy_space,direct_approach",2,direct_approach,1,0,0,0,0,2,"approach-counter,engage-staff",approach-counter -> engage-staff,2,2,0.0,0.0,-0.0,0.15388,0.07694,0.0,0,2,0,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""courtesy_space"": 0.307749, ""direct_approach"": 0.931688}","{""direct_approach"": 0.053438}","{""engage-staff"": 0.026719, ""approach-counter"": 0.026719}",0.0
exp2,exp2_reception_k3_observe_scene_queue_position_wait_patiently,reception,"observe_scene,queue_position,wait_patiently",3,"observe_scene,queue_position,wait_patiently",3,0,0,0,0,6,"gaze-scan,position-in-queue,scan-environment,wait-acknowledge,wait-for-turn,yield-pass",scan-environment -> gaze-scan -> position-in-queue -> wait-for-turn -> yield-pass -> wait-acknowledge,6,3,6.907755,1.381551,2.302585,9.125724,1.520954,1.381551,2,3,3,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""observe_scene"": 0.897028, ""queue_position"": 0.799894, ""wait_patiently"": 0.703971}","{""observe_scene"": 0.083918, ""queue_position"": 0.080018, ""wait_patiently"": 0.076095}","{""scan-environment"": 0.041959, ""gaze-scan"": 0.041959, ""position-in-queue"": 0.040009, ""yield-pass"": 0.040009, ""wait-for-turn"": 0.038047, ""wait-acknowledge"": 0.038047}",0.0
exp2,exp2_reception_k3_observe_scene_queue_position_approach_service,reception,"observe_scene,queue_position,approach_service",3,"observe_scene,queue_position,approach_service",3,0,0,0,0,6,"approach-counter,gaze-at-agent,gaze-scan,position-in-queue,scan-environment,yield-pass",scan-environment -> position-in-queue -> approach-counter -> gaze-at-agent -> gaze-scan -> yield-pass,6,4,9.21034,1.842068,2.302585,9.398117,1.566353,1.842068,2,4,2,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""observe_scene"": 0.897028, ""queue_position"": 0.799894, ""approach_service"": 0.896072}","{""approach_service"": 0.087977, ""observe_scene"": 0.087974, ""queue_position"": 0.084064}","{""approach-counter"": 0.043988, ""gaze-at-agent"": 0.043988, ""scan-environment"": 0.043987, ""gaze-scan"": 0.043987, ""position-in-queue"": 0.042032, ""yield-pass"": 0.042032}",0.0
exp2,exp2_reception_k3_observe_scene_queue_position_courtesy_space,reception,"observe_scene,queue_position,courtesy_space",3,"observe_scene,queue_position",2,0,0,0,0,4,"gaze-scan,position-in-queue,scan-environment,yield-pass",scan-environment -> gaze-scan -> position-in-queue -> yield-pass,4,2,4.60517,1.535057,2.302585,5.045718,1.261429,1.535057,2,2,2,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""observe_scene"": 0.897028, ""queue_position"": 0.799894, ""courtesy_space"": 0.307749}","{""observe_scene"": 0.08625, ""queue_position"": 0.08375}","{""scan-environment"": 0.043125, ""gaze-scan"": 0.043125, ""position-in-queue"": 0.041875, ""yield-pass"": 0.041875}",0.0
exp2,exp2_reception_k3_observe_scene_queue_position_direct_approach,reception,"observe_scene,queue_position,direct_approach",3,"observe_scene,queue_position,direct_approach",3,0,0,0,0,6,"approach-counter,engage-staff,gaze-scan,position-in-queue,scan-environment,yield-pass",scan-environment -> position-in-queue -> engage-staff -> approach-counter -> gaze-scan -> yield-pass,6,4,9.21034,1.842068,2.302585,8.674898,1.445816,1.842068,2,4,2,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""observe_scene"": 0.897028, ""queue_position"": 0.799894, ""direct_approach"": 0.931688}","{""direct_approach"": 0.090958, ""observe_scene"": 0.088749, ""queue_position"": 0.084957}","{""engage-staff"": 0.045479, ""approach-counter"": 0.045479, ""scan-environment"": 0.044374, ""gaze-scan"": 0.044374, ""position-in-queue"": 0.042478, ""yield-pass"": 0.042478}",0.0
exp2,exp2_reception_k3_observe_scene_wait_patiently_approach_service,reception,"observe_scene,wait_patiently,approach_service",3,"observe_scene,wait_patiently,approach_service",3,0,0,0,0,6,"approach-counter,gaze-at-agent,gaze-scan,scan-environment,wait-acknowledge,wait-for-turn",wait-for-turn -> gaze-scan -> approach-counter -> gaze-at-agent -> scan-environment -> wait-acknowledge,6,4,9.21034,1.842068,2.302585,8.833977,1.47233,1.842068,0,4,2,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""observe_scene"": 0.897028, ""wait_patiently"": 0.703971, ""approach_service"": 0.896072}","{""approach_service"": 0.085978, ""observe_scene"": 0.085971, ""wait_patiently"": 0.078131}","{""approach-counter"": 0.042989, ""gaze-at-agent"": 0.042989, ""scan-environment"": 0.042986, ""gaze-scan"": 0.042986, ""wait-for-turn"": 0.039066, ""wait-acknowledge"": 0.039066}",0.0
exp2,exp2_reception_k3_observe_scene_wait_patiently_courtesy_space,reception,"observe_scene,wait_patiently,courtesy_space",3,"observe_scene,wait_patiently",2,0,0,0,0,4,"gaze-scan,scan-environment,wait-acknowledge,wait-for-turn",gaze-scan -> wait-acknowledge -> scan-environment -> wait-for-turn,4,2,4.60517,1.535057,2.302585,5.066598,1.26665,1.535057,0,2,2,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""observe_scene"": 0.897028, ""wait_patiently"": 0.703971, ""courtesy_space"": 0.307749}","{""observe_scene"": 0.0825, ""wait_patiently"": 0.0775}","{""scan-environment"": 0.04125, ""gaze-scan"": 0.04125, ""wait-for-turn"": 0.03875, ""wait-acknowledge"": 0.03875}",0.0
exp2,exp2_reception_k3_observe_scene_wait_patiently_direct_approach,reception,"observe_scene,wait_patiently,direct_approach",3,"observe_scene,wait_patiently,direct_approach",3,0,0,0,0,6,"approach-counter,engage-staff,gaze-scan,scan-environment,wait-acknowledge,wait-for-turn",wait-for-turn -> gaze-scan -> approach-counter -> engage-staff -> wait-acknowledge -> scan-environment,6,4,2.302585,0.460517,2.302585,7.936942,1.322824,0.460517,0,4,2,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""observe_scene"": 0.897028, ""wait_patiently"": 0.703971, ""direct_approach"": 0.931688}","{""direct_approach"": 0.089105, ""observe_scene"": 0.086603, ""wait_patiently"": 0.07899}","{""engage-staff"": 0.044553, ""approach-counter"": 0.044553, ""scan-environment"": 0.043302, ""gaze-scan"": 0.043302, ""wait-for-turn"": 0.039495, ""wait-acknowledge"": 0.039495}",0.0
exp2,exp2_reception_k3_observe_scene_approach_service_courtesy_space,reception,"observe_scene,approach_service,courtesy_space",3,"observe_scene,approach_service",2,0,0,0,0,4,"approach-counter,gaze-at-agent,gaze-scan,scan-environment",scan-environment -> gaze-scan -> approach-counter -> gaze-at-agent,4,3,4.60517,1.535057,2.302585,4.620156,1.155039,1.535057,0,3,1,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""observe_scene"": 0.897028, ""approach_service"": 0.896072, ""courtesy_space"": 0.307749}","{""observe_scene"": 0.09, ""approach_service"": 0.09}","{""scan-environment"": 0.045, ""gaze-scan"": 0.045, ""approach-counter"": 0.045, ""gaze-at-agent"": 0.045}",0.0
exp2,exp2_reception_k3_observe_scene_approach_service_direct_approach,reception,"observe_scene,approach_service,direct_approach",3,"observe_scene,approach_service,direct_approach",3,0,0,0,0,5,"approach-counter,engage-staff,gaze-at-agent,gaze-scan,scan-environment",gaze-scan -> approach-counter -> engage-staff -> gaze-at-agent -> scan-environment,5,4,2.302585,0.575646,2.302585,5.181162,1.036232,0.575646,0,4,1,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""observe_scene"": 0.897028, ""approach_service"": 0.896072, ""direct_approach"": 0.931688}","{""direct_approach"": 0.09297, ""approach_service"": 0.09108, ""observe_scene"": 0.090944}","{""engage-staff"": 0.046485, ""approach-counter"": 0.092025, ""gaze-at-agent"": 0.04554, ""scan-environment"": 0.045472, ""gaze-scan"": 0.045472}",0.0
exp2,exp2_reception_k3_observe_scene_courtesy_space_direct_approach,reception,"observe_scene,courtesy_space,direct_approach",3,"observe_scene,direct_approach",2,0,0,0,0,4,"approach-counter,engage-staff,gaze-scan,scan-environment",gaze-scan -> approach-counter -> engage-staff -> scan-environment,4,3,2.302585,0.767528,2.302585,3.979495,0.994874,0.767528,0,3,1,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""observe_scene"": 0.897028, ""courtesy_space"": 0.307749, ""direct_approach"": 0.931688}","{""direct_approach"": 0.093125, ""observe_scene"": 0.091875}","{""engage-staff"": 0.046563, ""approach-counter"": 0.046563, ""scan-environment"": 0.045937, ""gaze-scan"": 0.045937}",0.0
exp2,exp2_reception_k3_queue_position_wait_patiently_approach_service,reception,"queue_position,wait_patiently,approach_service",3,"queue_position,wait_patiently,approach_service",3,0,0,0,0,6,"approach-counter,gaze-at-agent,position-in-queue,wait-acknowledge,wait-for-turn,yield-pass",position-in-queue -> wait-for-turn -> yield-pass -> approach-counter -> gaze-at-agent -> wait-acknowledge,6,4,4.60517,0.921034,2.302585,8.280643,1.380107,0.921034,2,4,2,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""queue_position"": 0.799894, ""wait_patiently"": 0.703971, ""approach_service"": 0.896072}","{""approach_service"": 0.083918, ""queue_position"": 0.080012, ""wait_patiently"": 0.07609}","{""approach-counter"": 0.041959, ""gaze-at-agent"": 0.041959, ""position-in-queue"": 0.040006, ""yield-pass"": 0.040006, ""wait-for-turn"": 0.038045, ""wait-acknowledge"": 0.038045}",0.0
exp2,exp2_reception_k3_queue_position_wait_patiently_courtesy_space,reception,"queue_position,wait_patiently,courtesy_space",3,"queue_position,wait_patiently",2,0,0,0,0,4,"position-in-queue,wait-acknowledge,wait-for-turn,yield-pass",wait-acknowledge -> yield-pass -> position-in-queue -> wait-for-turn,4,2,0.0,0.0,-0.0,4.484139,1.121035,0.0,2,2,2,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""queue_position"": 0.799894, ""wait_patiently"": 0.703971, ""courtesy_space"": 0.307749}","{""queue_position"": 0.07625, ""wait_patiently"": 0.07375}","{""position-in-queue"": 0.038125, ""yield-pass"": 0.038125, ""wait-for-turn"": 0.036875, ""wait-acknowledge"": 0.036875}",0.0
exp2,exp2_reception_k3_queue_position_wait_patiently_direct_approach,reception,"queue_position,wait_patiently,direct_approach",3,"queue_position,wait_patiently,direct_approach",3,0,0,0,0,6,"approach-counter,engage-staff,position-in-queue,wait-acknowledge,wait-for-turn,yield-pass",position-in-queue -> wait-for-turn -> approach-counter -> engage-staff -> wait-acknowledge -> yield-pass,6,4,0.0,0.0,-0.0,7.418532,1.236422,0.0,2,4,2,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""queue_position"": 0.799894, ""wait_patiently"": 0.703971, ""direct_approach"": 0.931688}","{""direct_approach"": 0.086866, ""queue_position"": 0.080493, ""wait_patiently"": 0.076666}","{""engage-staff"": 0.043433, ""approach-counter"": 0.043433, ""position-in-queue"": 0.040247, ""yield-pass"": 0.040247, ""wait-for-turn"": 0.038333, ""wait-acknowledge"": 0.038333}",0.0
exp2,exp2_reception_k3_queue_position_approach_service_courtesy_space,reception,"queue_position,approach_service,courtesy_space",3,"queue_position,approach_service",2,0,0,0,0,4,"approach-counter,gaze-at-agent,position-in-queue,yield-pass",approach-counter -> gaze-at-agent -> position-in-queue -> yield-pass,4,3,6.907755,2.302585,2.302585,4.855723,1.213931,2.302585,2,3,1,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""queue_position"": 0.799894, ""approach_service"": 0.896072, ""courtesy_space"": 0.307749}","{""approach_service"": 0.08625, ""queue_position"": 0.08375}","{""approach-counter"": 0.043125, ""gaze-at-agent"": 0.043125, ""position-in-queue"": 0.041875, ""yield-pass"": 0.041875}",0.0
exp2,exp2_reception_k3_queue_position_approach_service_direct_approach,reception,"queue_position,approach_service,direct_approach",3,"queue_position,approach_service,direct_approach",3,0,0,0,0,5,"approach-counter,engage-staff,gaze-at-agent,position-in-queue,yield-pass",yield-pass -> approach-counter -> engage-staff -> gaze-at-agent -> position-in-queue,5,4,2.302585,0.575646,2.302585,5.416728,1.083346,0.575646,2,4,1,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""queue_position"": 0.799894, ""approach_service"": 0.896072, ""direct_approach"": 0.931688}","{""direct_approach"": 0.091302, ""approach_service"": 0.089235, ""queue_position"": 0.085028}","{""engage-staff"": 0.045651, ""approach-counter"": 0.090268, ""gaze-at-agent"": 0.044617, ""position-in-queue"": 0.042514, ""yield-pass"": 0.042514}",0.0
exp2,exp2_reception_k3_queue_position_courtesy_space_direct_approach,reception,"queue_position,courtesy_space,direct_approach",3,"queue_position,direct_approach",2,0,0,0,0,4,"approach-counter,engage-staff,position-in-queue,yield-pass",yield-pass -> approach-counter -> engage-staff -> position-in-queue,4,3,2.302585,0.767528,2.302585,4.215062,1.053765,0.767528,2,3,1,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""queue_position"": 0.799894, ""courtesy_space"": 0.307749, ""direct_approach"": 0.931688}","{""direct_approach"": 0.089375, ""queue_position"": 0.085625}","{""engage-staff"": 0.044688, ""approach-counter"": 0.044688, ""position-in-queue"": 0.042813, ""yield-pass"": 0.042813}",0.0
exp2,exp2_reception_k3_wait_patiently_approach_service_courtesy_space,reception,"wait_patiently,approach_service,courtesy_space",3,"wait_patiently,approach_service",2,0,0,0,0,4,"approach-counter,gaze-at-agent,wait-acknowledge,wait-for-turn",wait-for-turn -> approach-counter -> gaze-at-agent -> wait-acknowledge,4,3,2.302585,0.767528,2.302585,3.772234,0.943058,0.767528,0,3,1,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""wait_patiently"": 0.703971, ""approach_service"": 0.896072, ""courtesy_space"": 0.307749}","{""approach_service"": 0.0825, ""wait_patiently"": 0.0775}","{""approach-counter"": 0.04125, ""gaze-at-agent"": 0.04125, ""wait-for-turn"": 0.03875, ""wait-acknowledge"": 0.03875}",0.0
exp2,exp2_reception_k3_wait_patiently_approach_service_direct_approach,reception,"wait_patiently,approach_service,direct_approach",3,"wait_patiently,approach_service,direct_approach",3,0,0,0,0,5,"approach-counter,engage-staff,gaze-at-agent,wait-acknowledge,wait-for-turn",wait-for-turn -> approach-counter -> gaze-at-agent -> engage-staff -> wait-acknowledge,5,4,2.302585,0.575646,2.302585,5.29528,1.059056,0.575646,0,4,1,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""wait_patiently"": 0.703971, ""approach_service"": 0.896072, ""direct_approach"": 0.931688}","{""direct_approach"": 0.089773, ""approach_service"": 0.087427, ""wait_patiently"": 0.079117}","{""engage-staff"": 0.044886, ""approach-counter"": 0.0886, ""gaze-at-agent"": 0.043714, ""wait-for-turn"": 0.039558, ""wait-acknowledge"": 0.039558}",0.0
exp2,exp2_reception_k3_wait_patiently_courtesy_space_direct_approach,reception,"wait_patiently,courtesy_space,direct_approach",3,"wait_patiently,direct_approach",2,0,0,0,0,4,"approach-counter,engage-staff,wait-acknowledge,wait-for-turn",wait-for-turn -> approach-counter -> engage-staff -> wait-acknowledge,4,3,0.0,0.0,-0.0,3.664099,0.916025,0.0,0,3,1,1.0,reception,0.976857,0.120736,0.976857,0.004033,0.019109,"{""wait_patiently"": 0.703971, ""courtesy_space"": 0.307749, ""direct_approach"": 0.931688}","{""direct_approach"": 0.085625, ""wait_patiently"": 0.079375}","{""engage-staff"": 0.042813, ""approach-counter"": 0.042813, ""wait-for-turn"": 0.039687, ""wait-acknowledge"": 0.039687}",0.0
